"business_id","avg_review_stars","review_count","fries_count","fries_pos_count","fries_neg_count","chips_count","chips_pos_count","chips_neg_count","onion_rings_count","onion_rings_pos_count","onion_rings_neg_count","nachos_count","nachos_pos_count","nachos_neg_count","wings_count","wings_pos_count","wings_neg_count","burger_count","burger_pos_count","burger_neg_count","monzarella_stick_count","monzarella_stick_pos_count","monzarella_stick_neg_count","quesadillas_count","quesadillas_pos_count","quesadillas_neg_count","cheese_count","cheese_pos_count","cheese_neg_count","sandwitch_count","sandwitch_pos_count","sandwitch_neg_count","pizza_count","pizza_pos_count","pizza_neg_count","taco_count","taco_pos_count","taco_neg_count","popcorn_count","popcorn_pos_count","popcorn_neg_count","bacon_count","bacon_pos_count","bacon_neg_count","slider_count","slider_pos_count","slider_neg_count","fried_count","fried_pos_count","fried_neg_count","shrimp_count","shrimp_pos_count","shrimp_neg_count","salads_count","salads_pos_count","salads_neg_count","dip_count","dip_pos_count","dip_neg_count","nugget_count","nugget_pos_count","nugget_neg_count","oysters_count","oysters_pos_count","oysters_neg_count","sauce_count","sauce_pos_count","sauce_neg_count","peanut_count","peanut_pos_count","peanut_neg_count","chicken_count","chicken_pos_count","chicken_neg_count","beer_count","beer_pos_count","beer_neg_count","wine_count","wine_pos_count","wine_neg_count","cocktail_count","cocktail_pos_count","cocktail_neg_count","spark_count","spark_pos_count","spark_neg_count","spirit_count","spirit_pos_count","spirit_neg_count","rum_count","rum_pos_count","rum_neg_count","whiskey_count","whiskey_pos_count","whiskey_neg_count","vodka_count","vodka_pos_count","vodka_neg_count","tequila_count","tequila_pos_count","tequila_neg_count","brandy_count","brandy_pos_count","brandy_neg_count","gin_count","gin_pos_count","gin_neg_count","negroni_count","negroni_pos_count","negroni_neg_count","daiquiri_count","daiquiri_pos_count","daiquiri_neg_count","manhattan_count","manhattan_pos_count","manhattan_neg_count","mojito_count","mojito_pos_count","mojito_neg_count","margarita_count","margarita_pos_count","margarita_neg_count","martini_count","martini_pos_count","martini_neg_count","music_count","music_pos_count","music_neg_count","band_count","band_pos_count","band_neg_count","waiter_count","waiter_pos_count","waiter_neg_count","waitress_count","waitress_pos_count","waitress_neg_count","park_count","park_pos_count","park_neg_count","wifi_count","wifi_pos_count","wifi_neg_count","restroom_count","restroom_pos_count","restroom_neg_count","manner_count","manner_pos_count","manner_neg_count","price_count","price_pos_count","price_neg_count","reservation_count","reservation_pos_count","reservation_neg_count","seat_count","seat_pos_count","seat_neg_count","booking_count","booking_pos_count","booking_neg_count","employee_count","employee_pos_count","employee_neg_count"
"X5oaz9_MVz-1ng83HuI4ZQ",2.88983050847458,118,29,3,6,10,0,0,1,0,0,0,0,0,0,0,0,27,3,3,0,0,0,0,0,0,28,8,4,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,20,3,1,0,0,0,3,0,1,6,0,0,0,0,0,2,0,0,11,1,0,0,0,0,19,1,4,129,22,10,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,1,1,0,0,21,3,2,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2,1,1,0,17,3,0,0,0,0,1,0,0
"cUy8ww2wcqW-1RJLNSvBkA",3.40425531914894,94,14,4,1,4,0,0,1,0,0,15,2,1,3,0,0,24,5,3,0,0,0,1,0,1,18,3,0,0,0,0,0,0,0,6,1,0,0,0,0,3,1,0,5,0,1,8,0,1,0,0,0,6,1,0,1,0,0,1,0,1,0,0,0,3,1,0,1,0,0,13,3,0,23,8,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,5,1,2,6,0,1,17,3,6,6,0,0,0,0,0,0,0,0,1,1,0,17,5,1,1,0,0,12,3,0,0,0,0,1,0,0
"xtDZdPaHwhAwoo77QV9Oeg",3.66666666666667,123,6,3,0,2,1,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,20,5,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,15,2,2,1,0,0,1,1,0,0,0,0,1,0,0,5,2,1,0,0,0,0,0,0,5,0,2,56,13,4,8,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,17,4,1,13,4,1,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,62,6,3,10,3,1,8,2,0,0,0,0,1,1,0
"ewEDv_q-K0fV0FepkHB8sA",4.08055009823183,509,29,3,3,0,0,0,8,3,0,0,0,0,0,0,0,32,10,2,0,0,0,0,0,0,58,14,6,0,0,0,2,0,0,0,0,0,0,0,0,13,5,0,0,0,0,14,4,3,41,15,3,15,4,1,4,1,0,0,0,0,10,1,4,75,28,3,0,0,0,11,2,1,19,3,5,74,23,6,114,40,14,3,0,0,0,0,0,14,0,1,1,0,0,2,0,1,0,0,0,11,3,1,44,8,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,4,6,10,4,0,42,4,3,29,7,1,50,11,4,7,0,1,0,0,0,1,0,0,3,2,1,114,27,7,76,4,6,77,10,5,0,0,0,0,0,0
"EgtyW19V-64c6PmRuvzSEA",3.79814077025232,753,77,20,8,13,3,1,3,0,0,30,10,3,41,12,5,260,78,13,0,0,0,2,1,2,230,65,27,0,0,0,5,1,0,35,7,2,2,1,0,35,6,0,2,0,2,47,10,5,7,1,2,13,3,0,44,9,6,3,2,1,0,0,0,73,14,7,35,8,3,80,25,8,879,287,64,7,0,0,15,4,0,0,0,0,0,0,0,6,0,1,1,0,0,2,1,0,1,1,0,0,0,0,64,14,7,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,8,1,2,29,8,2,28,7,2,46,12,3,23,4,3,0,0,0,1,0,0,4,0,1,65,21,3,10,0,0,88,21,7,0,0,0,2,0,0
"566Si6H4elSwGXsrQDjXdg",4.43589743589744,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,29,10,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,16,2,44,10,7,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,23,10,4,0,0,0,10,0,1,1,0,0,0,0,0
"sTEmdsTMxoiKmjtRXRxCoA",3.44444444444444,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,2,21,2,4,0,0,0,0,0,0,3,1,0,0,0,0,5,1,0,0,0,0,20,2,3,0,0,0,22,3,2,0,0,0,3,1,0
"RMEzxhYfpnEsWlfozit_xw",3.8014440433213,277,8,1,1,33,4,7,0,0,0,8,2,1,5,2,1,38,5,4,0,0,0,0,0,0,52,11,6,0,0,0,67,18,4,20,5,3,0,0,0,12,3,2,0,0,0,4,0,0,11,1,0,9,2,1,10,2,2,0,0,0,0,0,0,24,7,3,7,0,0,19,2,3,470,120,35,8,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,11,1,4,7,2,1,18,5,0,22,4,1,0,0,0,0,0,0,0,0,0,22,9,1,1,0,0,29,5,1,0,0,0,2,1,0
"iIok1p4qnpGAa07xoaXRQA",3.20430107526882,186,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,7,0,0,0,0,0,0,22,2,3,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8,2,1,0,0,0,9,2,0,1,1,0,0,0,0,9,0,1,21,8,3,0,0,0,16,3,2,7,0,2,28,4,4,50,9,1,3,1,2,3,0,0,4,3,0,3,0,0,1,0,1,1,1,0,1,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,2,0,6,1,1,4,0,1,31,4,5,4,1,2,1,0,0,0,0,0,1,0,0,57,13,0,9,2,0,20,2,1,0,0,0,1,0,0
"Twcjx4ofM9GWwXN6LVGSzw",3.9134438305709,543,54,18,4,5,1,0,0,0,0,0,0,0,0,0,0,88,24,4,0,0,0,0,0,0,181,48,7,0,0,0,4,1,1,6,1,0,0,0,0,25,6,2,30,7,0,39,11,2,10,2,0,5,2,0,6,2,1,0,0,0,0,0,0,83,17,4,0,0,0,39,6,1,44,13,3,54,15,2,404,124,36,0,0,0,12,4,1,21,4,1,26,6,1,9,2,1,11,4,0,3,1,0,66,13,2,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,5,2,0,53,9,8,33,3,1,18,2,5,48,11,4,7,1,0,0,0,0,3,0,0,1,0,0,110,25,6,43,2,2,71,16,3,0,0,0,4,0,0
"NYf9TKBKPpa1wkA_uwIlfg",3.99001996007984,501,18,2,3,43,9,5,0,0,0,3,0,1,3,1,0,245,42,105,0,0,0,0,0,0,113,22,41,0,0,0,1,0,1,1,0,0,0,0,0,16,1,1,0,0,0,14,3,1,0,0,0,5,1,1,4,0,1,0,0,0,0,0,0,38,11,6,0,0,0,42,8,8,137,47,13,16,3,1,18,6,0,2,0,0,4,2,0,16,2,1,1,0,0,8,1,1,3,1,0,2,0,0,41,4,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,25,11,3,33,7,7,32,4,5,33,3,11,18,1,3,0,0,0,4,0,1,4,0,1,55,23,5,4,1,0,56,6,6,0,0,0,2,0,0
"wvCU61bSTtO8Cj7dhyrfMw",3.66037735849057,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,17,4,2,0,0,0,0,0,0,0,0,0,21,4,0,5,0,0,18,3,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,6,2,1,1,1,0,0,0,0,0,0,0,27,6,2,0,0,0,3,2,0,0,0,0,5,2,0
"s913-wTSa-3repnsi2Yn_w",3.37333333333333,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,34,10,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,0,0,21,0,2,0,0,0,0,0,0
