"word","Sug_Customer"
"fries","Fries here is not good. Think twice before order it."
"chips","Chips here is not good. Think twice before order it."
"nachos","Nachos here is not good. Think twice before order it."
"wings","Wings here is not good. Think twice before order it."
"burger","Burgers here is not good. Think twice before order it."
"monzarella stick","Monzarella stick here is not good. Think twice before order it."
"cheese","Cheese here is not good. Think twice before order cheese foods."
"sandwitch","Sandwich here is not good. Think twice before order it."
"pizza","Pizza here is not good. Think twice before order it."
"taco","Taco here is not good. Maybe try some other snacks"
"fried","Shrimp here is not good. Think twice before order it."
"shrimp","Fried food here is not good. Think twice before order it."
"dip","Shrimp here is not good. Think twice before order it."
"nugget","Dipping source here is not good. Think twice before order it."
"peanut","Nugget here is not good. Think twice before order it."
"chicken","Peanut here is not good. Think twice before order it."
"beer","Chicken here is not good. Think twice before order it."
"wine","Beer here is not good. Think twice before order it."
"cocktail","Wine here is not good. Think twice before order it."
"gin","Cocktail here is not good. Think twice before order it."
"waiter","Gin here is not good. Think twice before order it."
"waitress","Service here is not good. Are you sure you want to go here?"
"park","Restroom here is not so good."
"restroom","Price here is not so friendly. Be carefull."
"price","Band here seems to be not so good."
