"V1","Madison_customer_suggestion_negative"
"fries","Fries here is not good. Think twice before order it."
"chips","Chips here is not good. Think twice before order it."
"nachos","Nacho here is not good. Think twice before order it."
"wings","Wings here is not good. Think twice before order it."
"cheese","Cheese here is not good. Think twice before order cheese foods."
"sandwitch","Taco here is not good. Maybe try some other snacks"
"taco","Shrimp here is not good. Think twice before order it."
"shrimp","Sauce here is not good. Think twice before order it."
"sauce","Chicken here is not good. Think twice before order it."
"chicken","Beer here is not good. Think twice before order it."
"beer","Wine here is not good. Think twice before order it."
"wine","Vodka here is not good. Think twice before order it."
"vodka","Gin here is not good. Think twice before order it."
"gin","Negroni here is not good. Think twice before order it."
"negroni","Margarita here is not good. Think twice before order it."
"margarita","Service here is not good. Are you sure you want to go here?"
"waiter","Service here is not good. Are you sure you want to go here?"
"waitress","Service here is not good. Are you sure you want to go here?"
"manner","Price here is not so friendly."
"price","Band here seems to be not so good."
