"business_id","avg_review_stars","review_count","fries_count","fries_pos_count","fries_neg_count","chips_count","chips_pos_count","chips_neg_count","onion_rings_count","onion_rings_pos_count","onion_rings_neg_count","nachos_count","nachos_pos_count","nachos_neg_count","wings_count","wings_pos_count","wings_neg_count","burger_count","burger_pos_count","burger_neg_count","monzarella_stick_count","monzarella_stick_pos_count","monzarella_stick_neg_count","quesadillas_count","quesadillas_pos_count","quesadillas_neg_count","cheese_count","cheese_pos_count","cheese_neg_count","sandwitch_count","sandwitch_pos_count","sandwitch_neg_count","pizza_count","pizza_pos_count","pizza_neg_count","taco_count","taco_pos_count","taco_neg_count","popcorn_count","popcorn_pos_count","popcorn_neg_count","bacon_count","bacon_pos_count","bacon_neg_count","slider_count","slider_pos_count","slider_neg_count","fried_count","fried_pos_count","fried_neg_count","shrimp_count","shrimp_pos_count","shrimp_neg_count","salads_count","salads_pos_count","salads_neg_count","dip_count","dip_pos_count","dip_neg_count","nugget_count","nugget_pos_count","nugget_neg_count","oysters_count","oysters_pos_count","oysters_neg_count","sauce_count","sauce_pos_count","sauce_neg_count","peanut_count","peanut_pos_count","peanut_neg_count","chicken_count","chicken_pos_count","chicken_neg_count","beer_count","beer_pos_count","beer_neg_count","wine_count","wine_pos_count","wine_neg_count","cocktail_count","cocktail_pos_count","cocktail_neg_count","spark_count","spark_pos_count","spark_neg_count","spirit_count","spirit_pos_count","spirit_neg_count","rum_count","rum_pos_count","rum_neg_count","whiskey_count","whiskey_pos_count","whiskey_neg_count","vodka_count","vodka_pos_count","vodka_neg_count","tequila_count","tequila_pos_count","tequila_neg_count","brandy_count","brandy_pos_count","brandy_neg_count","gin_count","gin_pos_count","gin_neg_count","negroni_count","negroni_pos_count","negroni_neg_count","daiquiri_count","daiquiri_pos_count","daiquiri_neg_count","manhattan_count","manhattan_pos_count","manhattan_neg_count","mojito_count","mojito_pos_count","mojito_neg_count","margarita_count","margarita_pos_count","margarita_neg_count","martini_count","martini_pos_count","martini_neg_count","waiter_count","waiter_pos_count","waiter_neg_count","waitress_count","waitress_pos_count","waitress_neg_count","park_count","park_pos_count","park_neg_count","wifi_count","wifi_pos_count","wifi_neg_count","restroom_count","restroom_pos_count","restroom_neg_count","manner_count","manner_pos_count","manner_neg_count","price_count","price_pos_count","price_neg_count","reservation_count","reservation_pos_count","reservation_neg_count","seat_count","seat_pos_count","seat_neg_count","booking_count","booking_pos_count","booking_neg_count","employee_count","employee_pos_count","employee_neg_count","music_count","music_pos_count","music_neg_count","band_count","band_pos_count","band_neg_count","light_count","light_pos_count","light_neg_count","environment_count","environment_pos_count","environment_neg_count","atomsphere_count","atomsphere_pos_count","atomsphere_neg_count"
"yNPh5SO-7wr8HPpVCDPbXQ",3.92307692307692,1937,88,25,5,105,20,5,0,0,0,51,15,4,2,0,0,178,37,15,0,0,0,0,0,0,506,128,53,0,0,0,4,1,0,44,11,10,2,0,0,44,6,4,1,0,0,97,19,5,129,33,6,43,5,1,91,22,4,5,1,0,104,19,9,164,42,12,124,36,2,296,58,24,148,38,15,129,29,11,135,36,4,4,1,0,5,1,0,27,7,0,4,1,0,14,2,0,7,0,0,0,0,0,101,21,6,0,0,0,2,0,0,0,0,0,2,0,0,4,1,1,8,0,3,202,72,11,110,37,10,98,10,6,0,0,0,7,0,0,12,5,1,331,65,16,176,15,13,272,54,20,1,0,0,17,3,3,21,9,3,119,20,9,169,46,11,22,8,1,0,0,0
"3e8eoaLIRYqPOZOlUFVMjw",3.66666666666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"98-glq_UhUwYwx9SBVi2_A",3.78571428571429,56,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,9,1,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,15,3,1,1,0,0,1,0,0,0,0,0,4,2,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0
"vjaHGc25CcyNPZTbjDa7Ww",3.88335925349922,643,81,25,2,36,11,8,13,2,1,45,16,1,32,8,0,143,42,13,0,0,0,0,0,0,87,16,10,0,0,0,3,1,0,85,26,16,0,0,0,25,6,4,26,9,2,9,3,2,11,0,1,7,2,0,27,11,5,0,0,0,0,0,0,46,8,8,2,1,0,58,10,5,53,25,3,54,16,5,43,20,1,1,0,0,2,0,0,4,2,1,1,0,0,4,0,0,2,1,0,0,0,0,49,12,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,49,13,7,35,13,3,42,2,3,0,0,0,3,0,0,5,0,1,64,22,1,17,0,2,102,17,6,0,0,0,8,1,1,39,15,4,34,5,2,49,11,7,13,4,1,0,0,0
"rBqek2924sBTjW1qE2ci2Q",3.33823529411765,68,8,1,1,0,0,0,0,0,0,1,0,0,1,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,0,0,0,2,2,0,1,0,0,1,0,0,28,8,0,45,7,2,1,0,0,4,2,1,0,0,0
"XC06xxb7FFYsXcI2E38IIw",4.09604519774011,708,83,27,6,10,4,3,0,0,0,0,0,0,0,0,0,160,30,18,0,0,0,0,0,0,46,10,8,0,0,0,2,1,0,0,0,0,1,0,0,19,5,1,1,0,0,11,1,2,11,3,0,28,5,3,139,46,19,0,0,0,15,4,1,53,15,10,7,3,2,71,17,9,15,6,3,81,22,8,32,10,6,0,0,0,0,0,0,9,2,2,7,3,1,5,1,1,3,0,0,0,0,0,46,9,4,0,0,0,0,0,0,0,0,0,3,2,1,18,6,0,20,5,11,43,7,7,47,7,8,23,4,3,0,0,0,3,0,0,8,0,3,145,31,17,68,3,9,89,16,11,0,0,0,12,0,0,12,5,2,52,8,11,60,19,7,6,2,0,0,0,0
"TT9u-iVu9mtq7tdCTJWwnw",2.93650793650794,63,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,5,2,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,6,0,0,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,1,0,11,1,1,3,1,1,0,0,0
"3C5Z9homtzkWHouH2BHXYQ",3.95040214477212,1492,0,0,0,364,123,42,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,127,22,27,0,0,0,4,0,1,1920,411,191,0,0,0,39,9,9,0,0,0,19,7,4,151,29,22,9,2,2,40,15,2,0,0,0,0,0,0,108,25,12,1,1,0,193,39,30,125,33,15,17,3,1,41,12,5,0,0,0,5,3,0,9,3,2,1,0,0,6,1,0,90,24,4,0,0,0,127,19,13,0,0,0,0,0,0,0,0,0,0,0,0,247,88,20,0,0,0,80,20,12,73,20,11,85,7,12,0,0,0,3,0,0,5,1,1,223,47,25,21,1,1,141,24,10,1,0,0,7,0,0,143,30,18,79,14,5,104,31,9,27,12,1,0,0,0
"pTZ4u-sEQr-yHq2Cl4EMEw",4.01994301994302,351,7,2,1,4,2,0,1,0,0,0,0,0,0,0,0,14,5,1,0,0,0,0,0,0,57,16,4,0,0,0,1,0,0,6,1,1,1,1,0,13,3,3,1,0,0,6,3,0,27,6,3,16,3,2,3,2,0,1,0,0,2,1,0,36,6,2,5,0,0,22,3,3,6,0,1,69,19,7,25,7,3,0,0,0,2,1,0,4,0,1,0,0,0,3,0,1,0,0,0,0,0,0,40,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,2,3,75,14,6,10,2,0,9,2,1,0,0,0,1,0,0,2,2,1,99,14,5,35,3,4,55,11,1,0,0,0,5,0,0,18,7,1,48,9,2,54,14,8,2,2,0,0,0,0
"l8k4gOEkfoLKq0mPVWHWGg",3.27713625866051,433,41,7,4,21,7,2,14,2,3,26,6,4,55,17,12,101,27,13,0,0,0,1,0,1,53,10,12,0,0,0,37,8,0,6,1,1,0,0,0,9,5,1,27,2,4,8,0,0,1,1,0,9,0,1,28,5,0,0,0,0,0,0,0,27,4,4,0,0,0,67,14,6,139,32,31,23,3,1,10,0,0,0,0,0,1,1,0,7,1,0,1,0,0,4,0,0,1,0,0,0,0,0,28,4,2,0,0,0,0,0,0,0,0,0,1,1,0,12,1,1,5,1,0,5,3,0,60,8,13,95,8,12,0,0,0,7,0,1,1,1,0,94,21,8,7,0,0,47,6,4,0,0,0,17,2,2,12,3,0,33,3,1,17,4,1,4,2,0,0,0,0
