"business_id","avg_review_stars","review_count","fries","chips","onion rings","nachos","wings","burger","monzarella stick","quesadillas","cheese","sandwitch","pizza","taco","popcorn","bacon","slider","fried","shrimp","salads","dip","nugget","oysters","sauce","peanut","chicken","beer","wine","cocktail","spark","spirit","rum","whiskey","vodka","tequila","gin","negroni","daiquiri","manhattan","mojito","margarita","martini","waiter","waitress","park","wifi","restroom","price","music","band","light","environment","atomsphere"
"yNPh5SO-7wr8HPpVCDPbXQ",3.92307692307692,1937,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,-1,1,1,0,0,0,1,0,0,0,0,0
"98-glq_UhUwYwx9SBVi2_A",3.78571428571429,56,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"vjaHGc25CcyNPZTbjDa7Ww",3.88335925349922,643,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,-1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"rBqek2924sBTjW1qE2ci2Q",3.33823529411765,68,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"XC06xxb7FFYsXcI2E38IIw",4.09604519774011,708,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TT9u-iVu9mtq7tdCTJWwnw",2.93650793650794,63,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
"3C5Z9homtzkWHouH2BHXYQ",3.95040214477212,1492,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"pTZ4u-sEQr-yHq2Cl4EMEw",4.01994301994302,351,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,-1,0,0,0,1,-1,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"l8k4gOEkfoLKq0mPVWHWGg",3.27713625866051,433,0,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,0,0,0,0,0,0
"PVTfzxu7of57zo1jZwEzkg",4.12213740458015,1048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
"flE7Sn2JGs0n3SAtaep6Zw",3.82377622377622,715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0
"E9IPxXY6pS2gTW2FBkAJmg",3.65612104539202,727,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0
"f2z4RM_ungk_zQwcpZcpcQ",2.86259541984733,262,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0
"ZEkJ9E0WlvJmh1X0KxhXww",3.53191489361702,94,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eQfYZrSuzE6B4vkmu74H6w",3.06666666666667,150,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
"_c3ixq9jYKxhLUB0czi0ug",3.82078853046595,279,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Z7nGSKvjmHNRkXtoMxA3Jw",2.85641025641026,195,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,-1,1,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DMyoxEaTGTakZxWgh1D5bw",4.08936825885978,649,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0
"5Ktv5ZmJI0CN4L0KxDWJvw",4.34466019417476,412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"3rWRNL9sFX4YiWPqaUvUzw",3.06341463414634,205,1,1,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
"fP8JqPAVh9MQ2OIlfvsKnw",3.53061224489796,147,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"82I9SSilxh3zL8F1UQ45Xw",3.56703910614525,358,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"zrTGcb83AsfyVTMrsCa65A",3.46771037181996,511,1,0,-1,0,1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MHq5Ly9ZMbCgnP3PoQJbVQ",3.01522842639594,197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
"WXR0ND0KqbArMZDvFMA-bw",4.05,460,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,-1,1,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0
"cTZmf7B-4yciMc1WKiCVOA",4.51986754966887,906,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
