,business_id,avg_review_stars,review_count,fries_count,fries_pos_count,fries_neg_count,chips_count,chips_pos_count,chips_neg_count,onion_rings_count,onion_rings_pos_count,onion_rings_neg_count,nachos_count,nachos_pos_count,nachos_neg_count,wings_count,wings_pos_count,wings_neg_count,burger_count,burger_pos_count,burger_neg_count,monzarella_stick_count,monzarella_stick_pos_count,monzarella_stick_neg_count,quesadillas_count,quesadillas_pos_count,quesadillas_neg_count,cheese_count,cheese_pos_count,cheese_neg_count,sandwitch_count,sandwitch_pos_count,sandwitch_neg_count,pizza_count,pizza_pos_count,pizza_neg_count,taco_count,taco_pos_count,taco_neg_count,popcorn_count,popcorn_pos_count,popcorn_neg_count,bacon_count,bacon_pos_count,bacon_neg_count,slider_count,slider_pos_count,slider_neg_count,fried_count,fried_pos_count,fried_neg_count,shrimp_count,shrimp_pos_count,shrimp_neg_count,salads_count,salads_pos_count,salads_neg_count,dip_count,dip_pos_count,dip_neg_count,nugget_count,nugget_pos_count,nugget_neg_count,oysters_count,oysters_pos_count,oysters_neg_count,sauce_count,sauce_pos_count,sauce_neg_count,peanut_count,peanut_pos_count,peanut_neg_count,chicken_count,chicken_pos_count,chicken_neg_count,beer_count,beer_pos_count,beer_neg_count,wine_count,wine_pos_count,wine_neg_count,cocktail_count,cocktail_pos_count,cocktail_neg_count,spark_count,spark_pos_count,spark_neg_count,spirit_count,spirit_pos_count,spirit_neg_count,rum_count,rum_pos_count,rum_neg_count,whiskey_count,whiskey_pos_count,whiskey_neg_count,vodka_count,vodka_pos_count,vodka_neg_count,tequila_count,tequila_pos_count,tequila_neg_count,brandy_count,brandy_pos_count,brandy_neg_count,gin_count,gin_pos_count,gin_neg_count,negroni_count,negroni_pos_count,negroni_neg_count,daiquiri_count,daiquiri_pos_count,daiquiri_neg_count,manhattan_count,manhattan_pos_count,manhattan_neg_count,mojito_count,mojito_pos_count,mojito_neg_count,margarita_count,margarita_pos_count,margarita_neg_count,martini_count,martini_pos_count,martini_neg_count,waiter_count,waiter_pos_count,waiter_neg_count,waitress_count,waitress_pos_count,waitress_neg_count,park_count,park_pos_count,park_neg_count,wifi_count,wifi_pos_count,wifi_neg_count,restroom_count,restroom_pos_count,restroom_neg_count,manner_count,manner_pos_count,manner_neg_count,price_count,price_pos_count,price_neg_count,reservation_count,reservation_pos_count,reservation_neg_count,seat_count,seat_pos_count,seat_neg_count,booking_count,booking_pos_count,booking_neg_count,employee_count,employee_pos_count,employee_neg_count,music_count,music_pos_count,music_neg_count,band_count,band_pos_count,band_neg_count,light_count,light_pos_count,light_neg_count,environment_count,environment_pos_count,environment_neg_count,atomsphere_count,atomsphere_pos_count,atomsphere_neg_count
0,X5oaz9_MVz-1ng83HuI4ZQ,2.889830508474576,118,29,3,6,10,0,0,1,0,0,0,0,0,0,0,0,27,3,3,0,0,0,0,0,0,28,8,4,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,20,3,1,0,0,0,3,0,1,6,0,0,0,0,0,2,0,0,11,1,0,0,0,0,19,1,4,129,22,10,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,3,2,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2,1,1,0,17,3,0,0,0,0,1,0,0,4,0,0,3,1,1,9,3,1,0,0,0,0,0,0
1,cUy8ww2wcqW-1RJLNSvBkA,3.404255319148936,94,14,4,1,4,0,0,1,0,0,15,2,1,3,0,0,24,5,3,0,0,0,1,0,1,18,3,0,0,0,0,0,0,0,6,1,0,0,0,0,3,1,0,5,0,1,8,0,1,0,0,0,6,1,0,1,0,0,1,0,1,0,0,0,3,1,0,1,0,0,13,3,0,23,8,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,17,3,6,6,0,0,0,0,0,0,0,0,1,1,0,17,5,1,1,0,0,12,3,0,0,0,0,1,0,0,4,1,1,5,1,2,3,0,1,2,2,0,0,0,0
2,xtDZdPaHwhAwoo77QV9Oeg,3.6666666666666665,123,6,3,0,2,1,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,20,5,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,15,2,2,1,0,0,1,1,0,0,0,0,1,0,0,5,2,1,0,0,0,0,0,0,5,0,2,56,13,4,8,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,4,1,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,62,6,3,10,3,1,8,2,0,0,0,0,1,1,0,4,0,2,17,4,1,25,5,1,3,2,0,0,0,0
3,ewEDv_q-K0fV0FepkHB8sA,4.080550098231827,509,29,3,3,0,0,0,8,3,0,0,0,0,0,0,0,32,10,2,0,0,0,0,0,0,58,14,6,0,0,0,2,0,0,0,0,0,0,0,0,13,5,0,0,0,0,14,4,3,41,15,3,15,4,1,4,1,0,0,0,0,10,1,4,75,28,3,0,0,0,11,2,1,19,3,5,74,23,6,114,40,14,3,0,0,0,0,0,14,0,1,1,0,0,2,0,1,0,0,0,11,3,1,44,8,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,4,6,29,7,1,50,11,4,7,0,1,0,0,0,1,0,0,3,2,1,114,27,7,76,4,6,77,10,5,0,0,0,0,0,0,10,4,0,42,4,3,77,21,6,9,6,0,0,0,0
4,EgtyW19V-64c6PmRuvzSEA,3.798140770252324,753,77,20,8,13,3,1,3,0,0,30,10,3,41,12,5,260,78,13,0,0,0,2,1,2,230,65,27,0,0,0,5,1,0,35,7,2,2,1,0,35,6,0,2,0,2,47,10,5,7,1,2,13,3,0,44,9,6,3,2,1,0,0,0,73,14,7,35,8,3,80,25,8,879,287,64,7,0,0,15,4,0,0,0,0,0,0,0,6,0,1,1,0,0,2,1,0,1,1,0,0,0,0,64,14,7,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,28,7,2,46,12,3,23,4,3,0,0,0,1,0,0,4,0,1,65,21,3,10,0,0,88,21,7,0,0,0,2,0,0,8,1,2,29,8,2,94,11,9,15,5,1,0,0,0
5,566Si6H4elSwGXsrQDjXdg,4.435897435897436,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,29,10,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,23,10,4,0,0,0,10,0,1,1,0,0,0,0,0,50,16,2,44,10,7,8,4,1,0,0,0,0,0,0
6,sTEmdsTMxoiKmjtRXRxCoA,3.4444444444444446,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5,1,0,0,0,0,20,2,3,0,0,0,22,3,2,0,0,0,3,1,0,26,4,2,21,2,4,3,1,0,1,0,0,0,0,0
7,RMEzxhYfpnEsWlfozit_xw,3.8014440433212995,277,8,1,1,33,4,7,0,0,0,8,2,1,5,2,1,38,5,4,0,0,0,0,0,0,52,11,6,0,0,0,67,18,4,20,5,3,0,0,0,12,3,2,0,0,0,4,0,0,11,1,0,9,2,1,10,2,2,0,0,0,0,0,0,24,7,3,7,0,0,19,2,3,470,120,35,8,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,18,5,0,22,4,1,0,0,0,0,0,0,0,0,0,22,9,1,1,0,0,29,5,1,0,0,0,2,1,0,4,1,2,11,1,4,88,18,4,3,1,0,0,0,0
8,iIok1p4qnpGAa07xoaXRQA,3.204301075268817,186,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,7,0,0,0,0,0,0,22,2,3,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8,2,1,0,0,0,9,2,0,1,1,0,0,0,0,9,0,1,21,8,3,0,0,0,16,3,2,7,0,2,28,4,4,50,9,1,3,1,2,3,0,0,4,3,0,3,0,0,1,0,1,1,1,0,1,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,1,31,4,5,4,1,2,1,0,0,0,0,0,1,0,0,57,13,0,9,2,0,20,2,1,0,0,0,1,0,0,3,2,0,6,1,1,22,3,2,0,0,0,0,0,0
9,Twcjx4ofM9GWwXN6LVGSzw,3.9134438305709023,543,54,18,4,5,1,0,0,0,0,0,0,0,0,0,0,88,24,4,0,0,0,0,0,0,181,48,7,0,0,0,4,1,1,6,1,0,0,0,0,25,6,2,30,7,0,39,11,2,10,2,0,5,2,0,6,2,1,0,0,0,0,0,0,83,17,4,0,0,0,39,6,1,44,13,3,54,15,2,404,124,36,0,0,0,12,4,1,21,4,1,26,6,1,9,2,1,11,4,0,3,1,0,66,13,2,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,5,2,0,18,2,5,48,11,4,7,1,0,0,0,0,3,0,0,1,0,0,110,25,6,43,2,2,71,16,3,0,0,0,4,0,0,53,9,8,33,3,1,111,32,9,4,1,0,0,0,0
