,business_id,avg_review_stars,review_count,fries_count,fries_pos_count,fries_neg_count,chips_count,chips_pos_count,chips_neg_count,onion_rings_count,onion_rings_pos_count,onion_rings_neg_count,nachos_count,nachos_pos_count,nachos_neg_count,wings_count,wings_pos_count,wings_neg_count,burger_count,burger_pos_count,burger_neg_count,monzarella_stick_count,monzarella_stick_pos_count,monzarella_stick_neg_count,quesadillas_count,quesadillas_pos_count,quesadillas_neg_count,cheese_count,cheese_pos_count,cheese_neg_count,sandwitch_count,sandwitch_pos_count,sandwitch_neg_count,pizza_count,pizza_pos_count,pizza_neg_count,taco_count,taco_pos_count,taco_neg_count,popcorn_count,popcorn_pos_count,popcorn_neg_count,bacon_count,bacon_pos_count,bacon_neg_count,slider_count,slider_pos_count,slider_neg_count,fried_count,fried_pos_count,fried_neg_count,shrimp_count,shrimp_pos_count,shrimp_neg_count,salads_count,salads_pos_count,salads_neg_count,dip_count,dip_pos_count,dip_neg_count,nugget_count,nugget_pos_count,nugget_neg_count,oysters_count,oysters_pos_count,oysters_neg_count,sauce_count,sauce_pos_count,sauce_neg_count,peanut_count,peanut_pos_count,peanut_neg_count,chicken_count,chicken_pos_count,chicken_neg_count,beer_count,beer_pos_count,beer_neg_count,wine_count,wine_pos_count,wine_neg_count,cocktail_count,cocktail_pos_count,cocktail_neg_count,spark_count,spark_pos_count,spark_neg_count,spirit_count,spirit_pos_count,spirit_neg_count,rum_count,rum_pos_count,rum_neg_count,whiskey_count,whiskey_pos_count,whiskey_neg_count,vodka_count,vodka_pos_count,vodka_neg_count,tequila_count,tequila_pos_count,tequila_neg_count,brandy_count,brandy_pos_count,brandy_neg_count,gin_count,gin_pos_count,gin_neg_count,negroni_count,negroni_pos_count,negroni_neg_count,daiquiri_count,daiquiri_pos_count,daiquiri_neg_count,manhattan_count,manhattan_pos_count,manhattan_neg_count,mojito_count,mojito_pos_count,mojito_neg_count,margarita_count,margarita_pos_count,margarita_neg_count,martini_count,martini_pos_count,martini_neg_count,waiter_count,waiter_pos_count,waiter_neg_count,waitress_count,waitress_pos_count,waitress_neg_count,park_count,park_pos_count,park_neg_count,wifi_count,wifi_pos_count,wifi_neg_count,restroom_count,restroom_pos_count,restroom_neg_count,manner_count,manner_pos_count,manner_neg_count,price_count,price_pos_count,price_neg_count,reservation_count,reservation_pos_count,reservation_neg_count,seat_count,seat_pos_count,seat_neg_count,booking_count,booking_pos_count,booking_neg_count,employee_count,employee_pos_count,employee_neg_count,music_count,music_pos_count,music_neg_count,band_count,band_pos_count,band_neg_count,light_count,light_pos_count,light_neg_count,environment_count,environment_pos_count,environment_neg_count,atomsphere_count,atomsphere_pos_count,atomsphere_neg_count
0,w_UCGMgok7N9p0XdYBx1VQ,3.460526315789474,684,527,71,57,0,0,0,0,0,0,1,0,0,23,8,1,119,5,5,0,0,0,0,0,0,232,22,25,1,0,0,7,1,0,0,0,0,0,0,0,24,2,1,0,0,0,38,4,5,0,0,0,8,1,0,4,1,0,0,0,0,0,0,0,59,8,3,0,0,0,38,4,5,100,19,16,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,4,50,8,6,22,3,0,0,0,0,4,0,1,4,1,0,55,27,3,1,0,0,84,7,4,0,0,0,8,0,1,5,0,0,28,0,0,30,8,2,2,0,0,0,0,0
1,Zja7ykq3icDzkN20XX6j1w,3.857843137254902,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,20,1,0,0,0,432,76,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,91,21,5,0,0,0,4,0,0,24,7,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,1,0,0,30,2,1,0,0,0,7,3,0,0,0,0,8,4,2,0,0,0,7,0,1,19,3,0,4,3,0,0,0,0
2,X_XFv1Ct6cznxQy9u8Yzxw,4.251908396946565,131,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,23,6,3,0,0,0,0,0,0,20,1,7,0,0,0,0,0,0,11,1,0,0,0,0,9,0,5,33,5,3,3,1,2,10,2,1,3,1,0,9,2,0,0,0,0,0,0,0,3,1,3,0,0,0,6,2,1,62,24,2,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,6,0,1,0,0,0,2,0,0,0,0,0,23,8,0,0,0,0,7,1,0,1,0,0,0,0,0,41,8,1,39,5,3,8,2,0,1,0,0,0,0,0
3,SHiJlYdxQmJur3i-gLf9MQ,3.2,45,14,2,1,11,2,2,0,0,0,2,0,0,9,2,2,16,2,0,0,0,0,0,0,0,20,3,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,2,1,0,8,2,1,0,0,0,0,0,0,8,2,1,0,0,0,15,3,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,11,2,1,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,1,0,0,0,0
4,SmkYLXEYhzwUZdS6TAevHg,4.294267515923567,785,8,5,1,5,0,1,0,0,0,0,0,0,8,1,0,52,10,3,0,0,0,0,0,0,176,42,16,0,0,0,0,0,0,7,2,0,1,0,0,12,1,2,1,0,0,46,5,6,2,1,0,9,1,1,12,6,0,0,0,0,0,0,0,70,30,9,10,0,0,35,9,1,30,8,2,39,7,2,225,83,8,0,0,0,8,1,0,16,4,0,177,36,7,3,1,1,2,0,0,6,0,3,78,14,6,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,3,1,1,49,24,2,53,22,8,9,2,0,0,0,0,11,2,0,2,1,0,97,19,7,231,20,14,153,16,7,2,0,0,7,2,0,16,4,1,87,11,3,110,18,4,5,3,0,0,0,0
5,oLSulsv7zuFuBL92wFssJg,4.010526315789473,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,26,7,1,0,0,0,8,0,0,0,0,0,7,1,1,1,0,1,1,0,0,6,0,0,4,1,0,0,0,0
6,lPcKVCwnnx54lJR5BXFbKQ,4.403100775193798,129,0,0,0,6,1,0,0,0,0,15,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,3,0,0,0,1,0,0,12,3,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,17,3,1,6,0,0,0,0,0,68,19,2,0,0,0,2,0,0,34,10,1,3,0,0,2,0,0,2,1,0,1,1,0,13,2,2,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,37,8,3,10,2,1,22,2,2,0,0,0,0,0,0,6,0,0,3,1,1,21,1,5,4,0,1,0,0,0
7,T1EKhweXQnRP3niBrBL7Ug,3.4782608695652173,161,3,0,0,1,0,0,4,1,1,2,0,1,13,2,1,7,0,0,0,0,0,3,0,3,17,2,5,0,0,0,1,1,0,15,2,3,0,0,0,3,0,0,2,0,0,7,1,1,57,9,12,1,1,0,4,0,1,0,0,0,0,0,0,17,8,3,0,0,0,44,6,9,5,0,0,0,0,0,5,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,7,1,0,12,1,1,1,0,0,7,1,1,12,3,1,1,0,0,0,0,0,0,0,0,0,0,0,19,3,2,10,0,0,21,1,3,0,0,0,4,0,0,14,4,0,16,2,1,30,4,4,1,0,0,0,0,0
8,74gDxr6rs_8tUTcS1vkr0Q,3.5652173913043477,207,19,4,2,30,6,1,14,4,1,0,0,0,32,3,3,91,17,7,0,0,0,0,0,0,48,8,3,0,0,0,2,2,0,1,0,1,0,0,0,43,8,3,0,0,0,33,7,2,15,4,1,7,2,2,13,5,0,0,0,0,18,4,1,37,13,2,2,0,0,57,8,7,116,34,5,13,2,3,28,14,2,0,0,0,2,0,0,8,1,2,1,0,0,2,1,0,1,0,0,0,0,0,28,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,1,13,5,0,36,2,4,15,4,0,0,0,0,0,0,0,3,0,2,48,8,2,10,0,0,26,3,0,1,0,0,3,1,0,102,29,9,49,7,1,18,1,0,1,0,0,0,0,0
9,qELIf4gzE_vlteu7pO7TZg,3.0113636363636362,88,10,1,3,6,2,2,1,1,1,9,4,0,0,0,0,12,2,1,0,0,0,1,0,1,21,5,5,0,0,0,2,1,0,3,2,0,0,0,0,1,1,0,2,1,0,2,1,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,12,3,2,2,1,0,24,5,2,13,2,2,4,1,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3,0,9,3,3,11,0,1,0,0,0,3,1,1,1,0,0,18,3,2,8,0,0,19,3,1,0,0,0,1,1,1,7,1,0,14,3,2,5,1,1,0,0,0,0,0,0
